detector,n,timestamp
DDM,1124,2017-01-29 21:46:14
PageHinkley,1468,2017-02-03 18:43:37
ADWIN,1505,2017-02-04 13:24:34
ADWIN,3105,2017-02-28 11:06:43
PageHinkley,3177,2017-03-01 09:26:18
PageHinkley,5756,2017-03-28 11:03:13
PageHinkley,8389,2017-04-27 20:13:34
ADWIN,8513,2017-04-29 00:02:03
PageHinkley,17243,2017-07-09 16:57:55
ADWIN,17793,2017-07-13 03:15:21
PageHinkley,21507,2017-08-06 20:57:06
PageHinkley,26212,2017-09-06 09:49:37
PageHinkley,28279,2017-09-18 20:22:43
PageHinkley,36017,2017-11-05 13:49:38
PageHinkley,41555,2017-11-25 12:02:42
ADWIN,41633,2017-11-25 14:15:57
PageHinkley,45653,2017-12-06 21:56:17
ADWIN,49409,2017-12-26 22:40:46
PageHinkley,49849,2017-12-29 19:50:28
PageHinkley,51641,2018-01-08 11:55:51
ADWIN,63585,2018-02-22 15:43:00
PageHinkley,66523,2018-03-04 21:13:20
ADWIN,67937,2018-03-09 22:20:51
PageHinkley,68301,2018-03-11 19:07:43
PageHinkley,82879,2018-05-05 19:29:22
ADWIN,83009,2018-05-06 13:15:08
PageHinkley,88492,2018-05-26 14:19:39
PageHinkley,98492,2018-07-13 13:14:59
ADWIN,99521,2018-07-18 11:36:56
PageHinkley,109169,2018-08-19 22:12:22
