n,model,accuracy,macro_f1,top5_accuracy
5000,baseline_no_change,0.1898379675935187,0.13429912952488435,0.324
5000,baseline_prior,0.15023004600920184,0.0048398842552313925,0.4404880976195239
5000,logistic_ovr,0.15043008601720345,0.004842958068484064,0.3358671734346869
5000,hoeffding_tree,0.14742948589717944,0.043515249295283935,0.42208441688337667
5000,hoeffding_adaptive,0.14802960592118425,0.04171057612620627,0.42948589717943586
5000,adaptive_forest,0.1828365673134627,0.043668012023693505,0.5023004600920185
5000,active_hoeffding_tree,0.14742948589717944,0.043515249295283935,0.42208441688337667
5000,active_hoeffding_adaptive,0.14782956591318264,0.043550829944505924,0.4174834966993399
10000,baseline_no_change,0.17401740174017402,0.12544784817261673,0.3108
10000,baseline_prior,0.11321132113211321,0.0035693114886425265,0.416041604160416
10000,logistic_ovr,0.11331133113311331,0.003571180916718674,0.30103010301030103
10000,hoeffding_tree,0.12201220122012202,0.036295846963634595,0.40154015401540155
10000,hoeffding_adaptive,0.12131213121312132,0.033622224218676985,0.40424042404240423
10000,adaptive_forest,0.18991899189918993,0.061846999036954654,0.5105510551055106
10000,active_hoeffding_tree,0.12201220122012202,0.036295846963634595,0.40154015401540155
10000,active_hoeffding_adaptive,0.11991199119911991,0.04155219896877329,0.39403940394039405
15000,baseline_no_change,0.1668777918527902,0.1272002174135244,0.2986666666666667
15000,baseline_prior,0.09760650710047336,0.0031208032231246404,0.40902726848456566
15000,logistic_ovr,0.09767317821188079,0.003122176188771248,0.28655243682912196
15000,hoeffding_tree,0.11534102273484899,0.03290600812337089,0.4012934195613041
15000,hoeffding_adaptive,0.11274084938995933,0.03753299594400221,0.39215947729848655
15000,adaptive_forest,0.1882792186145743,0.06609689598853546,0.5162344156277086
15000,active_hoeffding_tree,0.11534102273484899,0.03290600812337089,0.4012934195613041
15000,active_hoeffding_adaptive,0.11174078271884792,0.04166634162911067,0.38275885059003933
20000,baseline_no_change,0.16555827791389569,0.12443954108520362,0.29335
20000,baseline_prior,0.10210510525526276,0.005715976195718366,0.4144707235361768
20000,logistic_ovr,0.09060453022651133,0.0028161812302764347,0.28196409820491025
20000,hoeffding_tree,0.11870593529676483,0.028853572299005766,0.40812040602030103
20000,hoeffding_adaptive,0.11575578778938947,0.04326478149144818,0.40207010350517525
20000,adaptive_forest,0.1934596729836492,0.06660747678904264,0.520226011300565
20000,active_hoeffding_tree,0.11870593529676483,0.028853572299005766,0.40812040602030103
20000,active_hoeffding_adaptive,0.11390569528476424,0.043006459168054866,0.3909195459772989
25000,baseline_no_change,0.16520660826433056,0.12002496828158021,0.28988
25000,baseline_prior,0.10340413616544662,0.0059214101361449644,0.41769670786831475
25000,logistic_ovr,0.09100364014560583,0.0028275516634082504,0.2860514420576823
25000,hoeffding_tree,0.11688467538701548,0.028184142920032948,0.41201648065922636
25000,hoeffding_adaptive,0.11444457778311132,0.03896104853615679,0.4080163206528261
25000,adaptive_forest,0.1953278131125245,0.07660861687744215,0.5196207848313933
25000,active_hoeffding_tree,0.11688467538701548,0.028184142920032948,0.41201648065922636
25000,active_hoeffding_adaptive,0.11292451698067922,0.03871817279395148,0.39929597183887355
30000,baseline_no_change,0.1666055535184506,0.12893942914140458,0.2894
30000,baseline_prior,0.10460348678289276,0.005974817674806283,0.4169472315743858
30000,logistic_ovr,0.08823627454248475,0.002748539286875024,0.2898096603220107
30000,hoeffding_tree,0.11530384346144872,0.0408560353301583,0.40474682489416314
30000,hoeffding_adaptive,0.11333711123704124,0.04944029827198738,0.3983466115537185
30000,adaptive_forest,0.19853995133171107,0.07730656729555088,0.5203506783559452
30000,active_hoeffding_tree,0.11530384346144872,0.0408560353301583,0.40474682489416314
30000,active_hoeffding_adaptive,0.1112703756791893,0.04614012801293391,0.39257975265842193
35000,baseline_no_change,0.16891911197462783,0.12794469820572515,0.29074285714285714
35000,baseline_prior,0.10451727192205491,0.005932488536595984,0.4134975285008143
35000,logistic_ovr,0.08560244578416526,0.002672965443713602,0.29040829737992513
35000,hoeffding_tree,0.11394611274607847,0.039428053495969784,0.40341152604360125
35000,hoeffding_adaptive,0.11200320009143118,0.04333613100666562,0.3976113603245807
35000,adaptive_forest,0.2001200034286694,0.07672309480957192,0.5203291522614932
35000,active_hoeffding_tree,0.11394611274607847,0.039428053495969784,0.40341152604360125
35000,active_hoeffding_adaptive,0.11031743764107546,0.04567534975518121,0.3929540844024115
40000,baseline_no_change,0.17137928448211207,0.13317921409886077,0.29075
40000,baseline_prior,0.1044776119402985,0.005877925395305836,0.4116352908822721
40000,logistic_ovr,0.08587714692867322,0.002680864713498681,0.2909322733068327
40000,hoeffding_tree,0.11315282882072052,0.039987307696271124,0.4015850396259906
40000,hoeffding_adaptive,0.11145278631965799,0.042362413944245975,0.39715992899822494
40000,adaptive_forest,0.20045501137528438,0.07464081077968786,0.5163629090727269
40000,active_hoeffding_tree,0.11315282882072052,0.039987307696271124,0.4015850396259906
40000,active_hoeffding_adaptive,0.10932773319332983,0.04546627734844156,0.3923848096202405
45000,baseline_no_change,0.1722482721838263,0.13178310329332776,0.2909333333333333
45000,baseline_prior,0.10624680548456632,0.005898078578325582,0.4116758150181115
45000,logistic_ovr,0.08631302917842619,0.002693390686929046,0.28998422187159717
45000,hoeffding_tree,0.11391364252538945,0.03885362982580364,0.40454232316273697
45000,hoeffding_adaptive,0.11173581635147448,0.03947161238576535,0.40067557056823483
45000,adaptive_forest,0.1978710638014178,0.07525100270189658,0.5146114358096847
45000,active_hoeffding_tree,0.11391364252538945,0.03885362982580364,0.40454232316273697
45000,active_hoeffding_adaptive,0.10993577635058557,0.04461417556927371,0.3960976910598013
50000,baseline_no_change,0.17060341206824137,0.12887293502293756,0.28864
50000,baseline_prior,0.10438208764175283,0.005784800197606589,0.40546810936218725
50000,logistic_ovr,0.08386167723354467,0.0026228150505672233,0.2887657753155063
50000,hoeffding_tree,0.11144222884457688,0.03691159694237652,0.4014080281605632
50000,hoeffding_adaptive,0.10934218684373688,0.038694784039041884,0.39822796455929116
50000,adaptive_forest,0.19674393487869757,0.0759031715204554,0.5147302946058921
50000,active_hoeffding_tree,0.11144222884457688,0.03691159694237652,0.4014080281605632
50000,active_hoeffding_adaptive,0.10772215444308886,0.043109616026939614,0.39384787695753914
55000,baseline_no_change,0.16927580501463663,0.12716719573928373,0.2876
55000,baseline_prior,0.10385643375334097,0.005713564864989813,0.4068619429444172
55000,logistic_ovr,0.0842742595319915,0.0026347158343863674,0.2886961581119657
55000,hoeffding_tree,0.11149293623520427,0.03634681361375017,0.39917089401625483
55000,hoeffding_adaptive,0.11194748995436281,0.03725625135346523,0.4013163875706831
55000,adaptive_forest,0.19571264932089674,0.07606489838294624,0.5143911707485591
55000,active_hoeffding_tree,0.11149293623520427,0.03634681361375017,0.39917089401625483
55000,active_hoeffding_adaptive,0.10714740268004873,0.04120467650002226,0.39397079946908126
60000,baseline_no_change,0.17056950949182487,0.12846912153044904,0.2899
60000,baseline_prior,0.10466841114018567,0.005715354379559966,0.4100068334472241
60000,logistic_ovr,0.08166802780046334,0.0025593875855599354,0.28747145785763095
60000,hoeffding_tree,0.11495191586526442,0.03798894265413433,0.40292338205636763
60000,hoeffding_adaptive,0.11515191919865331,0.0377338480047228,0.40709011816863616
60000,adaptive_forest,0.19696994949915833,0.07727142500815774,0.5170919515325255
60000,active_hoeffding_tree,0.11495191586526442,0.03798894265413433,0.40292338205636763
60000,active_hoeffding_adaptive,0.11030183836397273,0.040694789566649237,0.3987733128885481
65000,baseline_no_change,0.1721564947153033,0.13327213018839942,0.2920153846153846
65000,baseline_prior,0.10332466653333128,0.005633047507179207,0.4139294450683857
65000,logistic_ovr,0.08007815504853921,0.002513256765513385,0.2870967245649933
65000,hoeffding_tree,0.11789412144802228,0.040845431962861285,0.4088062893275281
65000,hoeffding_adaptive,0.11766334866690256,0.042200723135273316,0.41236019015677167
65000,adaptive_forest,0.20201849259219373,0.08240809165148269,0.5230695856859336
65000,active_hoeffding_tree,0.11789412144802228,0.040845431962861285,0.4088062893275281
65000,active_hoeffding_adaptive,0.11330943552977737,0.04444825449299296,0.40416006400098464
70000,baseline_no_change,0.17233103330047572,0.13369034464842255,0.2934428571428571
70000,baseline_prior,0.10240146287804111,0.005560898716322495,0.41650595008500124
70000,logistic_ovr,0.07968685266932385,0.0025018821303136127,0.2894327061815169
70000,hoeffding_tree,0.11698738553407906,0.04095863451907512,0.410777296818526
70000,hoeffding_adaptive,0.11713024471778168,0.04198928834603426,0.41462020886012657
70000,adaptive_forest,0.206260089429849,0.08548351725925842,0.5286646952099315
70000,active_hoeffding_tree,0.11698738553407906,0.04095863451907512,0.410777296818526
70000,active_hoeffding_adaptive,0.11283018328833269,0.04334231384013888,0.40623437477678254
75000,baseline_no_change,0.1727223029640395,0.1326562791724094,0.2936666666666667
75000,baseline_prior,0.10233469779597061,0.005522680254026285,0.4174588994519927
75000,logistic_ovr,0.0791210549473993,0.0024854205623525798,0.28941719222922974
75000,hoeffding_tree,0.11622821637621834,0.04315755437759393,0.4124854998066641
75000,hoeffding_adaptive,0.11540153868718249,0.04018996424813957,0.41552554034053785
75000,adaptive_forest,0.21020280270403605,0.08798930865516255,0.5321004280057068
75000,active_hoeffding_tree,0.11622821637621834,0.04315755437759393,0.4124854998066641
75000,active_hoeffding_adaptive,0.1117214896198616,0.0412792439445875,0.407858771450286
80000,baseline_no_change,0.17245215565194566,0.1340238799750914,0.2942375
80000,baseline_prior,0.10205127564094552,0.005473665568325409,0.4166802085026063
80000,logistic_ovr,0.07913848923111538,0.0024859280608308283,0.2898161227015338
80000,hoeffding_tree,0.1153139414242678,0.042012096247049255,0.41231765397067466
80000,hoeffding_adaptive,0.11430142876785959,0.03683144989104085,0.4148676858460731
80000,adaptive_forest,0.20792759909498867,0.08961917243141267,0.528569107113839
80000,active_hoeffding_tree,0.1153139414242678,0.042012096247049255,0.41231765397067466
80000,active_hoeffding_adaptive,0.11085138564232053,0.038617428414033816,0.40768009600120003
85000,baseline_no_change,0.17220202590618713,0.13404121266924596,0.2943294117647059
85000,baseline_prior,0.1010247179378581,0.005404166572055584,0.41474605583595103
85000,logistic_ovr,0.0787421028482688,0.0024743855072656648,0.2933916869610231
85000,hoeffding_tree,0.1156719490817539,0.04340793893352794,0.41388722220261415
85000,hoeffding_adaptive,0.11467193731690961,0.0351634876844186,0.4170872598501159
85000,adaptive_forest,0.20724949705290652,0.09015899198316125,0.5264885469240814
85000,active_hoeffding_tree,0.1156719490817539,0.04340793893352794,0.41388722220261415
85000,active_hoeffding_adaptive,0.11060130119177873,0.03721460968573885,0.4083695102295321
90000,baseline_no_change,0.17222413582373136,0.1347689312062865,0.2942666666666667
90000,baseline_prior,0.1012455693952155,0.00537707452656184,0.41316014622384695
90000,logistic_ovr,0.0785342059356215,0.002468328271595733,0.29299214435715953
90000,hoeffding_tree,0.11831242569361881,0.04365635913480394,0.41607128968099644
90000,hoeffding_adaptive,0.1167568528539206,0.03412442502795967,0.4188935432615918
90000,adaptive_forest,0.2044244936054845,0.0892669477473013,0.5231835909287881
90000,active_hoeffding_tree,0.11831242569361881,0.04365635913480394,0.41607128968099644
90000,active_hoeffding_adaptive,0.11303458927321415,0.037132714091544984,0.4102045578284203
95000,baseline_no_change,0.17221233907725345,0.13450157984413963,0.2956105263157895
95000,baseline_prior,0.10192738870935483,0.005377457761831763,0.4131517173864988
95000,logistic_ovr,0.07706396909441152,0.0024254250540014046,0.293887304076885
95000,hoeffding_tree,0.12095916799124201,0.043505152010142656,0.41836229855051105
95000,hoeffding_adaptive,0.11874861840650955,0.03331771944648209,0.42103601090537796
95000,adaptive_forest,0.20132843503615827,0.0883021838211342,0.5200581058747987
95000,active_hoeffding_tree,0.12095916799124201,0.043505152010142656,0.41836229855051105
95000,active_hoeffding_adaptive,0.11538016189644101,0.03724811040877224,0.41273066032274025
100000,baseline_no_change,0.17156171561715616,0.13482649468029392,0.29613
100000,baseline_prior,0.1015410154101541,0.005337070547502723,0.4130241302413024
100000,logistic_ovr,0.07633076330763308,0.0024039854570375393,0.2959329593295933
100000,hoeffding_tree,0.12271122711227113,0.04494044775970819,0.42130421304213045
100000,hoeffding_adaptive,0.11981119811198113,0.03303644652761798,0.4234342343423434
100000,adaptive_forest,0.1999719997199972,0.08691972330457026,0.5178951789517895
100000,active_hoeffding_tree,0.12271122711227113,0.04494044775970819,0.42130421304213045
100000,active_hoeffding_adaptive,0.11729117291172912,0.03774821139641848,0.41573415734157343
105000,baseline_no_change,0.17087781788397985,0.13287655483489866,0.2956666666666667
105000,baseline_prior,0.10073429270754959,0.00528174996994254,0.4113753464318708
105000,logistic_ovr,0.07587691311345822,0.0023906998265864903,0.29616472537833693
105000,hoeffding_tree,0.1241726111677254,0.04438976116529897,0.4225183096981876
105000,hoeffding_adaptive,0.12071543538509891,0.03233228563676601,0.4239087991314203
105000,adaptive_forest,0.197525690720864,0.08486713605094642,0.51463347269974
105000,active_hoeffding_tree,0.1241726111677254,0.04438976116529897,0.4225183096981876
105000,active_hoeffding_adaptive,0.11856303393365651,0.03710753869564975,0.41651825255478625
110000,baseline_no_change,0.16979245265866053,0.13139923535645262,0.29524545454545453
110000,baseline_prior,0.10046454967772435,0.005246491510476082,0.41058555077773434
110000,logistic_ovr,0.07530068455167774,0.0023738156356584196,0.2962845116773789
110000,hoeffding_tree,0.12592841753106845,0.04449328250342281,0.4245584050764098
110000,hoeffding_adaptive,0.1217829252993209,0.03161625055836084,0.42546750425003865
110000,adaptive_forest,0.19566541514013763,0.08313316049087861,0.5119501086373512
110000,active_hoeffding_tree,0.12592841753106845,0.04449328250342281,0.4245584050764098
110000,active_hoeffding_adaptive,0.1199556359603269,0.03651705245705416,0.41831289375357955
